source_id,upstream_label,canonical_class,evaluation_use
malicious_skill_bench,malicious,malicious,static_detection
malicious_skill_bench,benign,benign,false_positive_control
malicious_skill_bench_hf,malicious,malicious,official_static_protocol
malicious_skill_bench_hf,benign,benign,official_static_protocol
malskillbench,malicious,malicious,package_detection
malskillbench,benign,benign,false_positive_control
malicious_agent_skills_bench,malicious,malicious,wild_confirmed_detection
malicious_agent_skills_bench,suspicious,suspicious,triage_only
malicious_agent_skills_bench,safe,benign,false_positive_control
skilltrustbench,malicious,malicious,static_detection
skilltrustbench,suspicious,suspicious,triage_only
skilltrustbench,normal,benign,false_positive_control
skillbench_1650,malicious,malicious,risk_scoring
skillbench_1650,benign,benign,false_positive_control
agent_skill_malware,malicious,malicious,real_campaign_detection
agent_skill_malware,benign,benign,false_positive_control
atr_skill_benchmark,malicious,malicious,precision_benchmark
atr_skill_benchmark,benign,benign,hard_negative_control
skillguard_v2,1,adversarial_prompt,prompt_injection_auxiliary
skillguard_v2,0,benign,prompt_false_positive_control
skillleakbench,malicious,malicious,credential_leakage_metadata
skillleakbench,vulnerable,vulnerable,vulnerability_detection
agenttrap,malicious,malicious,runtime_detection
agenttrap,benign,benign,runtime_false_positive_control
skilllifebench,vulnerability_scenario,vulnerable,rule_coverage
overtly_malicious_skills,malicious,malicious,scanner_evasion
